iter	Passed	Remaining
876	1325	185
877	1327	184
878	1328	182
879	1330	181
880	1331	179
881	1333	178
882	1334	176
883	1336	175
884	1337	173
885	1339	172
886	1340	170
887	1341	169
888	1343	167
889	1345	166
890	1346	164
891	1348	163
892	1349	161
893	1351	160
894	1352	158
895	1354	157
896	1355	155
897	1357	154
898	1358	152
899	1360	151
900	1361	149
901	1363	148
902	1364	146
903	1366	145
904	1367	143
905	1369	142
906	1370	140
907	1372	139
908	1373	137
909	1375	136
910	1376	134
911	1378	132
912	1379	131
913	1381	129
914	1382	128
915	1384	126
916	1385	125
917	1387	123
918	1389	122
919	1390	120
920	1392	119
921	1393	117
922	1394	116
923	1396	114
924	1397	113
925	1399	111
926	1400	110
927	1402	108
928	1404	107
929	1405	105
930	1407	104
931	1408	102
932	1409	101
933	1411	99
934	1412	98
935	1414	96
936	1415	95
937	1417	93
938	1419	92
939	1420	90
940	1422	89
941	1423	87
942	1425	86
943	1426	84
944	1428	83
945	1429	81
946	1431	80
947	1432	78
948	1434	77
949	1435	75
950	1437	74
951	1438	72
952	1439	71
953	1441	69
954	1443	68
955	1444	66
956	1445	64
957	1448	63
958	1449	61
959	1451	60
960	1452	58
961	1454	57
962	1455	55
963	1457	54
964	1458	52
965	1460	51
966	1461	49
967	1463	48
968	1464	46
969	1466	45
970	1467	43
971	1468	42
972	1470	40
973	1471	39
974	1473	37
975	1474	36
976	1476	34
977	1478	33
978	1479	31
979	1480	30
980	1482	28
981	1483	27
982	1485	25
983	1486	24
984	1488	22
985	1489	21
986	1491	19
987	1492	18
988	1494	16
989	1495	15
990	1496	13
991	1498	12
992	1500	10
993	1501	9
994	1502	7
995	1504	6
996	1506	4
997	1507	3
998	1509	1
999	1510	0
